"HYBRID_ZONE","LOCALITY","DISTANCE","H_INDEX_I","nSamples_H_I","H_INDEX_II","nSamples_H_II","Q_INDEX_I","nSamples_Q_I","Q_INDEX_II","nSamples_Q_II","genomic","nSamples_genomic"
"helvetica_natrixHN2","Baden-Württemberg-Sulz-Fischingen",1216.9,NA,NA,NA,NA,NA,NA,NA,NA,90.1,1
"helvetica_natrixHN2","Baden-Württemberg-Taubergießen",1113.8,NA,NA,NA,NA,NA,NA,NA,NA,1.39303482587065,1
"helvetica_natrixHN2","Baden-Württemberg-Tennenbach",1121.5,NA,NA,NA,NA,NA,NA,NA,NA,0.900900900900901,1
"helvetica_natrixHN2","Baden-Württemberg-Tiefenbach-Federsee",1292.3,NA,NA,NA,NA,NA,NA,NA,NA,96.5,1
"helvetica_natrixHN2","Baden-Württemberg-Tübingen-Wurmlingen",1254.5,NA,NA,NA,NA,NA,NA,NA,NA,96.6,1
"helvetica_natrixHN2","Baden-Württemberg-Ubstadt-Weiher",1272.5,NA,NA,NA,NA,NA,NA,NA,NA,18.7037037037037,1
"helvetica_natrixHN2","Baden-Württemberg-Unterreichenbach",1253.9,NA,NA,NA,NA,NA,NA,NA,NA,80.3,1
"helvetica_natrixHN2","Baden-Württemberg-Wollmatinger-Ried",1208.9,NA,NA,NA,NA,NA,NA,NA,NA,98.3,1
"helvetica_natrixHN2","Baden-Württemberg-between-Bad-Überkingen-and-Hausen",1345.2,NA,NA,NA,NA,NA,NA,NA,NA,84.2,1
"helvetica_natrixHN2","Baden-Württemberg-between-Leonberg-and-Gerlingen",1287.4,NA,NA,NA,NA,NA,NA,NA,NA,97.8,1
"helvetica_natrixHN2","Baden-Württemberg-between-Welschingen-and-Binningen",1181,NA,NA,NA,NA,NA,NA,NA,NA,97.9,2
"helvetica_natrixHN2","Baden-Württemberg-near-Ettlingen",1232.1,NA,NA,NA,NA,NA,NA,NA,NA,67.6,1
"helvetica_natrixHN2","Baden-Württemberg-near-Gerlingen-Krummbachtal",1287.2,NA,NA,NA,NA,NA,NA,NA,NA,95.1,2
"astreptophora_helveticaAH","Baixo-Vouga-W-Loure",0,NA,NA,NA,NA,NA,NA,NA,NA,0.800000000000001,1
