"HYBRID_ZONE","MARKER","PARAMETERS","VALUES","LEVEL"
"montandoni_vulgarisL","Q2","width",0.000998682305131782,"high"
"montandoni_vulgarisL","Q2","width",6.75399949721047,"low"
"montandoni_vulgarisL","Q2","pMin",0.438260934280717,"high"
"montandoni_vulgarisL","Q2","pMin",0.532148569348308,"low"
"montandoni_vulgarisL","Q2","pMax",0.796900097286776,"high"
"montandoni_vulgarisL","Q2","pMax",0.90981385369306,"low"
"montandoni_vulgarisL","genomic","center",43.8191894056732,"main"
"montandoni_vulgarisL","genomic","width",9.85999759195703,"main"
"montandoni_vulgarisL","genomic","pMin",0.000363653500362246,"main"
"montandoni_vulgarisL","genomic","pMax",0.984771509252937,"main"
"montandoni_vulgarisL","genomic","center",43.0986885923546,"high"
"montandoni_vulgarisL","genomic","center",44.724684716772,"low"
"montandoni_vulgarisL","genomic","width",7.77766746703763,"high"
"montandoni_vulgarisL","genomic","width",12.94427920395,"low"
"montandoni_vulgarisL","genomic","pMin",1.48569486905729e-05,"high"
"montandoni_vulgarisL","genomic","pMin",0.0238943009657473,"low"
"montandoni_vulgarisL","genomic","pMax",0.963172709466278,"high"
"montandoni_vulgarisL","genomic","pMax",0.997655828319926,"low"
