"HYBRID_ZONE","LOCALITY","DISTANCE","H_INDEX_I","nSamples_H_I","H_INDEX_II","nSamples_H_II","Q_INDEX_I","nSamples_Q_I","Q_INDEX_II","nSamples_Q_II","genomic","nSamples_genomic"
"anatolicus_ivanbureschi","Kethüda",-579.881506602751,0,3,0,3,0.433333333333333,3,25.3,3,0.1499666999667,12
"anatolicus_ivanbureschi","Keşan2",173.115933862792,85.9,1,89.3,1,99,1,88,1,100,1
"cristatus_ivanbureschi","Keşan2",337.538429936405,100,1,100,1,99.9,1,50.9,1,100,1
"ivanbureschi_macedonicus","Keşan2",-320.993313322355,0,1,0,1,0.1,1,1.4,1,0,1
"cristatus_macedonicus","Kijevo2",163.701876946946,66.4,1,73.5,1,99.9,1,98.7,1,99.8662653285151,3
"ivanbureschi_macedonicus","Kijevo2",99.5884589494924,62.8,1,100,1,99.8,1,98.7,1,99.8328988300908,3
"anatolicus_ivanbureschi","Kirazliyayla",-12.4179635465455,14.0666666666667,3,32.1,3,1.63333333333333,3,26.9,3,10.6561605061605,12
"cristatus_ivanbureschi","Klokocevac",-44.5972037213921,18.7,3,66.6666666666667,3,0.333333333333333,3,5,3,0.617902471609886,3
"cristatus_macedonicus","Klokocevac",-54.2366604932281,14,3,0,3,0.166666666666667,3,1,3,0.100726516553109,3
"anatolicus_ivanbureschi","Kocabei",95.6615337316997,65.2,3,96.4333333333333,3,87.2,3,90.4333333333333,3,99.7325309261117,3
"cristatus_ivanbureschi","Kocabei",558.020741963411,100,3,100,3,99.7333333333333,3,56.9,3,99.8995310551394,3
"ivanbureschi_macedonicus","Kocabei",-478.473956277115,0,3,0,3,0.2,3,1.16666666666667,3,0.100468944860596,3
"anatolicus_ivanbureschi","Kolarovo",470.114853270094,100,3,100,3,99.8,3,95.5333333333333,3,100,3
"cristatus_ivanbureschi","Kolarovo",178.957008589086,97.7,3,100,3,99.8666666666667,3,95.4666666666667,3,99.8981269920075,3
"ivanbureschi_macedonicus","Kolarovo",-30.6169729752627,1.96666666666667,3,0,3,1.46666666666667,3,0.966666666666667,3,1.73340271449422,3
"cristatus_macedonicus","Kolibari",230.139397893959,87.96,5,NA,NA,99.82,5,NA,NA,100,5
"ivanbureschi_macedonicus","Kolibari",74.4125646718148,97.6,5,NA,NA,99.8,5,NA,NA,100,5
"cristatus_macedonicus","Kolsh",227.556079889461,58.2666666666667,3,73.5,3,99.9,3,98.9,3,99.8997995991984,3
"ivanbureschi_macedonicus","Kolsh",134.607298549623,54.8,3,100,3,99.8333333333333,3,98.4666666666667,3,99.8997995991984,3
"cristatus_macedonicus","Krivi-Vir",13.5276723342309,30.9,1,0,1,54.1,1,1.9,1,97.1111448988901,1
"ivanbureschi_macedonicus","Krivi-Vir",3.03672917169157,25.5,1,0,1,2.7,1,1.2,1,65.1734693877551,1
"anatolicus_ivanbureschi","Kuyumculu",-140.858564930812,8.7,3,33.3333333333333,3,0.266666666666667,3,35,3,0.108333333333333,12
"cristatus_macedonicus","Leskoec",287.391047409242,100,5,NA,NA,99.78,5,NA,NA,100,5
"ivanbureschi_macedonicus","Leskoec",84.7104832874038,97.86,5,NA,NA,99.78,5,NA,NA,100,5
"anatolicus_ivanbureschi","Levski",405.470760860964,100,3,100,3,99.5666666666667,3,91.7,3,99.89883186058,3
"cristatus_ivanbureschi","Levski",71.206597700797,91.9,3,86,3,96.6666666666667,3,70.6,3,99.0173768122687,3
"ivanbureschi_macedonicus","Levski",-189.964884229024,0,3,0,3,0.166666666666667,3,1.23333333333333,3,0.101168139420014,3
"anatolicus_ivanbureschi","Livade",431.668210968172,100,3,100,3,99.8,3,94.9666666666667,3,100,3
"cristatus_ivanbureschi","Livade",175.269668851638,100,3,100,3,99.9,3,96,3,99.8998898788668,3
"ivanbureschi_macedonicus","Livade",-70.7928406987799,0,3,0,3,0.166666666666667,3,1.16666666666667,3,0.100110121133247,3
"cristatus_macedonicus","Ljuberadja",34.9772927901459,42.9666666666667,3,73.5,3,90.8666666666667,3,89.8,3,99.7694686795568,3
"ivanbureschi_macedonicus","Ljuberadja",7.23305746068206,21.1666666666667,3,61.8,3,57.9333333333333,3,73.4,3,63.8410230541632,3
"cristatus_macedonicus","Loznani",238.062300777298,92.2333333333333,3,100,3,99.8,3,98.7333333333333,3,99.8998029455699,3
"ivanbureschi_macedonicus","Loznani",31.2707237919342,100,3,100,3,99.8333333333333,3,98.4666666666667,3,99.9031396125585,3
"cristatus_macedonicus","Lucane",120.149602426237,54.3333333333333,3,73.5,3,99.9,3,99.0333333333333,3,99.8981658010783,3
"ivanbureschi_macedonicus","Lucane",16.982276403379,41.7666666666667,3,100,3,99.2666666666667,3,98.7333333333333,3,98.3333333333333,3
"cristatus_ivanbureschi","Meri",-175.718204325844,0,3,0,3,0.2,3,10.8,3,0.0802140834317863,3
"cristatus_macedonicus","Meri",-188.097872080485,0,3,0,3,0.233333333333333,3,1.23333333333333,3,0.200454370382036,3
"cristatus_ivanbureschi","Milanovac",-5.80995763369301,36.9666666666667,3,100,3,24.4333333333333,3,14.7666666666667,3,27.5741318812818,3
"cristatus_macedonicus","Milanovac",-24.241535448617,18.8,3,0,3,4.73333333333333,3,1.2,3,0.145152779987598,3
"anatolicus_ivanbureschi","Mitrašinci",509.479420140403,100,3,96.4333333333333,3,99.7666666666667,3,92.9333333333333,3,99.8997694617234,3
"cristatus_ivanbureschi","Mitrašinci",141.48539244554,83.5333333333333,3,100,3,92.5,3,79.7333333333333,3,99.8997694617234,3
"ivanbureschi_macedonicus","Mitrašinci",-25.9361438484162,8.4,3,0,3,0.566666666666667,3,1.3,3,0.100230538276576,3
"anatolicus_ivanbureschi","Mollafeneri",-37.5451131933905,21.9,3,2.33333333333333,3,4.83333333333333,3,10.3,3,0.285,20
"cristatus_ivanbureschi","Montana2",-14.1353248043198,27.7333333333333,3,100,3,9.66666666666667,3,16.7333333333333,3,0.0769547142574887,3
"cristatus_macedonicus","Montana2",-39.7398612167405,17.2333333333333,3,0,3,0.133333333333333,3,1.3,3,0.133778531715739,3
"anatolicus_ivanbureschi","Ostar-Kamak",274.326597895545,100,3,94.65,2,99.7,3,92.85,2,99.8662956166492,3
"cristatus_ivanbureschi","Ostar-Kamak",214.89590956149,100,3,100,2,99.9,3,72.25,2,99.8996956829794,3
"ivanbureschi_macedonicus","Ostar-Kamak",-265.034617251745,0,3,0,2,0.1,3,0.9,2,0.100304317020625,3
"cristatus_macedonicus","Paliambela",490.368696945266,100,2,100,2,99.7,2,98.5,2,99.8997995991984,3
"ivanbureschi_macedonicus","Paliambela",237.943597128101,100,2,100,2,99.75,2,98.45,2,99.8997995991984,3
"cristatus_ivanbureschi","Parshevitsa",-3.89844766598125,18.6333333333333,3,52.2,3,0.366666666666667,3,12.2,3,10.2758160822316,3
"cristatus_macedonicus","Parshevitsa",-48.4953423029403,16.1,3,0,3,0.233333333333333,3,1.16666666666667,3,0.113236876974723,3
"cristatus_macedonicus","Pefkodasos",229.259925975252,82.9333333333333,3,100,3,99.7666666666667,3,98.7666666666667,3,99.8879278169648,3
"ivanbureschi_macedonicus","Pefkodasos",10.614858942956,63.8333333333333,3,100,3,99.1666666666667,3,98.5,3,89.3186372745491,3
"cristatus_macedonicus","Pogradec",302.220179353311,100,2,92.1,2,99.85,2,97.75,2,99.8997995991984,3
"ivanbureschi_macedonicus","Pogradec",105.193451457387,100,2,100,2,99.8,2,98.2,2,99.8997995991984,3
"cristatus_ivanbureschi","Pomi",-416.064188438865,0,5,NA,NA,0.22,5,NA,NA,0.101796244283175,8
"cristatus_macedonicus","Pomi",-432.03384532237,0,5,NA,NA,0.22,5,NA,NA,0.101796244283175,8
"cristatus_macedonicus","Prepolac",102.186044931038,54.1,3,73.5,3,99.9,3,99,3,99.8997325979274,3
"ivanbureschi_macedonicus","Prepolac",73.0226577093139,44.9,3,100,3,99.6666666666667,3,98.5666666666667,3,99.8329993319973,3
"cristatus_macedonicus","Probistip",135.23014856535,68.5666666666667,3,91.1666666666667,3,99.9,3,98.9666666666667,3,99.8900212960719,3
"ivanbureschi_macedonicus","Probistip",7.18453550043222,55.5666666666667,3,100,3,99.7666666666667,3,98.6666666666667,3,91.0554442217769,3
"cristatus_macedonicus","Promaja",61.6610092063253,61.7333333333333,3,73.5,3,99.9,3,98.7666666666667,3,99.8750958296595,3
"ivanbureschi_macedonicus","Promaja",10.7707296306546,43.3,3,100,3,99.3333333333333,3,98.5333333333333,3,80.1703406813627,3
"cristatus_macedonicus","Rataje",59.9555699227501,54.1333333333333,3,73.5,3,99.6333333333333,3,98.9333333333333,3,99.6068491261118,3
"ivanbureschi_macedonicus","Rataje",25.9926272200059,40.6333333333333,3,100,3,98.1333333333333,3,98.8666666666667,3,84.6640677029772,3
"anatolicus_ivanbureschi","Resavica-Pecina",688.188022825214,95.5,2,100,2,99.8,2,93.9666666666667,3,100,3
"cristatus_ivanbureschi","Resavica-Pecina",8.53130531397434,89.8,2,100,2,99.7,2,81.1,3,98.7795294450643,3
"ivanbureschi_macedonicus","Resavica-Pecina",-25.324661172308,19.8,2,0,2,1.45,2,1.03333333333333,3,12.6763785225582,3
"cristatus_macedonicus","Rugince",127.237913605677,54.9666666666667,3,73.5,3,99.8,3,96.9333333333333,3,99.8792796966257,3
"ivanbureschi_macedonicus","Rugince",3.16933426564112,37.6333333333333,3,81.5666666666667,3,88.3666666666667,3,82.8,3,83.1062124248497,3
"anatolicus_ivanbureschi","Safaalan",83.7056720895926,79,3,92.8666666666667,3,84.5,3,90.1,3,99.8328318288198,3
"cristatus_ivanbureschi","Safaalan",388.394502629523,100,3,100,3,99.7666666666667,3,64.4,3,99.8996319614802,3
"ivanbureschi_macedonicus","Safaalan",-443.629273151099,0,3,0,3,0.166666666666667,3,1.2,3,0.100368038519843,3
"anatolicus_ivanbureschi","Safibey",-113.888078688637,7.26666666666667,3,0,3,0.333333333333333,3,8.36666666666667,3,0.133333333333333,6
"anatolicus_ivanbureschi","Salihler",194.424793468193,64.1,3,3.5,3,96.6333333333333,3,44.1,3,99.8999097502951,9
"cristatus_ivanbureschi","Salihler",509.155156384115,100,3,100,3,99.8666666666667,3,38.2,3,99.9665764169617,9
"ivanbureschi_macedonicus","Salihler",-374.480537792902,0,3,0,3,0.166666666666667,3,1.5,3,0.032311137997409,9
"anatolicus_ivanbureschi","Saricaali",150.057681766488,87.9333333333333,3,92.8666666666667,3,90.9,3,88.2,3,99.8998029442287,3
"cristatus_ivanbureschi","Saricaali",332.516603880324,100,3,100,3,99.8666666666667,3,67.6666666666667,3,99.9064762788763,3
"ivanbureschi_macedonicus","Saricaali",-371.412290413078,0,3,0,3,0.133333333333333,3,1.03333333333333,3,0.100197055771301,3
"anatolicus_ivanbureschi","Seben",-219.436100415803,14.8,3,0,3,0.433333333333333,3,13.7666666666667,3,0.1,5
"cristatus_macedonicus","Seli",288.145503298852,100,1,100,1,99.8,1,98.7,1,99.8664931056987,3
"ivanbureschi_macedonicus","Seli",52.3938396976866,100,1,100,1,99.7,1,98.8,1,99.9665931662724,3
"anatolicus_ivanbureschi","Shumnatitsa",463.992216411268,100,3,100,3,99.7666666666667,3,95.7,3,99.8997594044786,3
"cristatus_ivanbureschi","Shumnatitsa",78.4636861288967,100,3,100,3,99.9,3,95.6,3,99.8997594044786,3
"ivanbureschi_macedonicus","Shumnatitsa",-101.795489086063,0,3,0,3,0.166666666666667,3,1.03333333333333,3,0.100240595521407,3
"cristatus_ivanbureschi","Sikole",-32.1508165730382,17.7,3,33.3333333333333,3,1.9,3,5.8,3,1.60433873430579,3
