FID,ID,TRANSECT,DISTANCE
"1044","1",A,104300
"1045","1",A,104400
"1046","1",A,104500
"1047","1",A,104600
"1048","1",A,104700
"1049","1",A,104800
"1050","1",A,104900
"1051","1",A,105000
"1052","1",A,105100
"1053","1",A,105200
"1054","1",A,105300
"1055","1",A,105400
"1056","1",A,105500
"1057","1",A,105600
"1058","1",A,105700
"1059","1",A,105800
"1060","1",A,105900
"1061","1",A,106000
"1062","1",A,106100
"1063","1",A,106200
"1064","1",A,106300
"1065","1",A,106400
"1066","1",A,106500
"1067","1",A,106600
"1068","1",A,106700
"1069","1",A,106800
"1070","1",A,106900
"1071","1",A,107000
"1072","1",A,107100
"1073","1",A,107200
"1074","1",A,107300
"1075","1",A,107400
"1076","1",A,107500
"1077","1",A,107600
"1078","1",A,107700
"1079","1",A,107800
"1080","1",A,107900
"1081","1",A,108000
"1082","1",A,108100
"1083","1",A,108200
"1084","1",A,108300
"1085","1",A,108400
"1086","1",A,108500
"1087","1",A,108600
"1088","1",A,108700
"1089","1",A,108800
"1090","1",A,108900
"1091","1",A,109000
"1092","1",A,109100
"1093","1",A,109200
"1094","1",A,109300
"1095","1",A,109400
"1096","1",A,109500
"1097","1",A,109600
"1098","1",A,109700
"1099","1",A,109800
"1100","1",A,109900
"1101","1",A,110000
"1102","1",A,110100
"1103","1",A,110200
"1104","1",A,110300
"1105","1",A,110400
"1106","1",A,110500
"1107","1",A,110600
"1108","1",A,110700
"1109","1",A,110800
"1110","1",A,110900
"1111","1",A,111000
"1112","1",A,111100
"1113","1",A,111200
"1114","1",A,111300
"1115","1",A,111400
"1116","1",A,111500
"1117","1",A,111600
"1118","1",A,111700
"1119","1",A,111800
"1120","1",A,111900
"1121","1",A,112000
"1122","1",A,112100
"1123","1",A,112200
"1124","1",A,112300
"1125","1",A,112400
"1126","1",A,112500
"1127","1",A,112600
"1128","1",A,112700
"1129","1",A,112800
"1130","1",A,112900
"1131","1",A,113000
"1132","1",A,113100
"1133","1",A,113200
"1134","1",A,113300
"1135","1",A,113400
"1136","1",A,113500
"1137","1",A,113600
"1138","1",A,113700
"1139","1",A,113800
"1140","1",A,113900
"1141","1",A,114000
"1142","1",A,114100
"1143","1",A,114200
"1144","1",A,114300
"1145","1",A,114400
"1146","1",A,114500
"1147","1",A,114600
"1148","1",A,114700
"1149","1",A,114800
"1150","1",A,114900
"1151","1",A,115000
"1152","1",A,115100
"1153","1",A,115200
"1154","1",A,115300
"1155","1",A,115400
"1156","1",A,115500
"1157","1",A,115600
"1158","1",A,115700
"1159","1",A,115800
"1160","1",A,115900
"1161","1",A,116000
"1162","1",A,116100
"1163","1",A,116200
"1164","1",A,116300
"1165","1",A,116400
"1166","1",A,116500
"1167","1",A,116600
"1168","1",A,116700
"1169","1",A,116800
"1170","1",A,116900
"1171","1",A,117000
"1172","1",A,117100
"1173","1",A,117200
"1174","1",A,117300
"1175","1",A,117400
"1176","1",A,117500
"1177","1",A,117600
"1178","1",A,117700
"1179","1",A,117800
"1180","1",A,117900
"1181","1",A,118000
"1182","1",A,118100
"1183","1",A,118200
"1184","1",A,118300
"1185","1",A,118400
"1186","1",A,118500
"1187","1",A,118600
"1188","1",A,118700
"1189","1",A,118800
"1190","1",A,118900
"1191","1",A,119000
"1192","1",A,119100
"1193","1",A,119200
"1194","1",A,119300
"1195","1",A,119400
"1196","1",A,119500
"1197","1",A,119600
"1198","1",A,119700
"1199","1",A,119800
"1200","1",A,119900
"1201","1",A,120000
"1202","1",A,120100
"1203","1",A,120200
"1204","1",A,120300
"1205","1",A,120400
"1206","1",A,120500
"1207","1",A,120600
"1208","1",A,120700
"1209","1",A,120800
"1210","1",A,120900
"1211","1",A,121000
"1212","1",A,121100
"1213","1",A,121200
"1214","1",A,121300
"1215","1",A,121400
"1216","1",A,121500
"1217","1",A,121600
"1218","1",A,121700
"1219","1",A,121800
"1220","1",A,121900
"1221","1",A,122000
"1222","1",A,122100
"1223","1",A,122200
"1224","1",A,122300
"1225","1",A,122400
"1226","1",A,122500
"1227","1",A,122600
"1228","1",A,122700
"1229","1",A,122800
"1230","1",A,122900
"1231","1",A,123000
"1232","1",A,123100
"1233","1",A,123200
"1234","1",A,123300
"1235","1",A,123400
"1236","1",A,123500
"1237","1",A,123600
"1238","1",A,123700
"1239","1",A,123800
"1240","1",A,123900
"1241","1",A,124000
"1242","1",A,124100
"1243","1",A,124200
"1244","1",A,124300
"1245","1",A,124400
"1246","1",A,124500
"1247","1",A,124600
"1248","1",A,124700
"1249","1",A,124800
"1250","1",A,124900
"1251","1",A,125000
"1252","1",A,125100
"1253","1",A,125200
"1254","1",A,125300
"1255","1",A,125400
"1256","1",A,125500
"1257","1",A,125600
"1258","1",A,125700
"1259","1",A,125800
"1260","1",A,125900
"1261","1",A,126000
"1262","1",A,126100
"1263","1",A,126200
"1264","1",A,126300
"1265","1",A,126400
"1266","1",A,126500
"1267","1",A,126600
"1268","1",A,126700
"1269","1",A,126800
"1270","1",A,126900
"1271","1",A,127000
"1272","1",A,127100
"1273","1",A,127200
"1274","1",A,127300
"1275","1",A,127400
"1276","1",A,127500
"1277","1",A,127600
"1278","1",A,127700
"1279","1",A,127800
"1280","1",A,127900
"1281","1",A,128000
"1282","1",A,128100
"1283","1",A,128200
"1284","1",A,128300
"1285","1",A,128400
"1286","1",A,128500
"1287","1",A,128600
"1288","1",A,128700
"1289","1",A,128800
"1290","1",A,128900
"1291","1",A,129000
"1292","1",A,129100
"1293","1",A,129200
"1294","1",A,129300
"1295","1",A,129400
"1296","1",A,129500
"1297","1",A,129600
"1298","1",A,129700
"1299","1",A,129800
"1300","1",A,129900
"1301","1",A,130000
"1302","1",A,130100
"1303","1",A,130200
"1304","1",A,130300
"1305","1",A,130400
"1306","1",A,130500
"1307","1",A,130600
"1308","1",A,130700
"1309","1",A,130800
"1310","1",A,130900
"1311","1",A,131000
"1312","1",A,131100
"1313","1",A,131200
"1314","1",A,131300
"1315","1",A,131400
"1316","1",A,131500
"1317","1",A,131600
"1318","1",A,131700
"1319","1",A,131800
"1320","1",A,131900
"1321","1",A,132000
"1322","1",A,132100
"1323","1",A,132200
"1324","1",A,132300
"1325","1",A,132400
"1326","1",A,132500
"1327","1",A,132600
"1328","1",A,132700
"1329","1",A,132800
"1330","1",A,132900
"1331","1",A,133000
"1332","1",A,133100
"1333","1",A,133200
"1334","1",A,133300
"1335","1",A,133400
"1336","1",A,133500
"1337","1",A,133600
"1338","1",A,133700
"1339","1",A,133800
"1340","1",A,133900
"1341","1",A,134000
"1342","1",A,134100
"1343","1",A,134200
"1344","1",A,134300
"1345","1",A,134400
"1346","1",A,134500
"1347","1",A,134600
"1348","1",A,134700
"1349","1",A,134800
"1350","1",A,134900
"1351","1",A,135000
"1352","1",A,135100
"1353","1",A,135200
"1354","1",A,135300
"1355","1",A,135400
